,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
396,Foreign Correspondent,1940,95,81.0,Romance,mystery and thriller,,English,,1h 59m,Alfred Hitchcock,,"['Charles Bennett', ' Joan Harrison', ' Ben Hecht', ' Robert Benchley', ' James Hilton']","['Joel McCrea', ' Laraine Day', ' Herbert Marshall', ' George Sanders', ' Albert Basserman', ' Robert Benchley', ' Edmund Gwenn', ' Eduardo Ciannelli', ' Harry Davenport', ' Martin Kosleck', ' Alfred Hitchcock', ' Charles Bennett', ' Joan Harrison', ' Ben Hecht', ' Robert Benchley', ' James Hilton', ' Walter Wanger', ' Alfred Newman', ' Rudolph Maté', ' Dorothy Spencer']",English,American,red
397,Four Weddings and a Funeral,1994,96,74.0,Romance,romance,R,English,$49.3M,1h 56m,Mike Newell,['Duncan Kenworthy'],['Richard Curtis'],"['Hugh Grant', ' Andie MacDowell', ' Kristin Scott Thomas', ' Simon Callow', ' Rowan Atkinson', ' James Fleet', ' John Hannah', ' Charlotte Coleman', ' David Bower', ' Corin Redgrave', ' Mike Newell', ' Richard Curtis', ' Tim Bevan', ' Richard Curtis', ' Eric Fellner', ' Duncan Kenworthy', ' Reg Presley', ' Michael Coulter', ' Jon Gregory']",English,British,red
398,Shakespeare in Love,1998,92,80.0,Romance,romance,R (Sexuality),English,$100.2M,2h 2m,John Madden,"['Marc Norman', ' Donna Gigliotti', ' David Parfitt', ' Harvey Weinstein', ' Edward Zwick']","['Tom Stoppard', ' Marc Norman']","['Joseph Fiennes', ' Gwyneth Paltrow', ' Geoffrey Rush', ' Judi Dench', ' Simon Callow', ' Colin Firth', ' Imelda Staunton', ' Antony Sher', ' Ben Affleck', ' Tom Wilkinson', ' John Madden', ' Tom Stoppard', ' Marc Norman', ' Julie Goldstein', ' Marc Norman', ' Donna Gigliotti', ' David Parfitt', ' Bob Weinstein', ' Harvey Weinstein', ' Edward Zwick']",English,American,red
399,Midnight in Paris,2011,93,83.0,Romance,"fantasy, romance",PG-13 (Some Sexual References|Smoking),English,$56.8M,1h 34m,Woody Allen,"['Letty Aronson', ' Stephen Tenenbaum', ' Jaume Roures']",['Woody Allen'],"['Owen Wilson', ' Rachel McAdams', ' Marion Cotillard', ' Michael Sheen', ' Kathy Bates', ' Adrien Brody', ' Léa Seydoux', ' Nina Arianda', ' Carla Bruni', ' Kurt Fuller', ' Woody Allen', ' Woody Allen', ' Letty Aronson', ' Stephen Tenenbaum', ' Jaume Roures', ' Javier Méndez', ' Darius Khondji', ' Alisa Lepselter', ' Anne Seibel', ' Sonia Grande']",English,American,red
400,Manhattan,1979,94,92.0,Romance,"comedy, drama",R,English,,1h 36m,Woody Allen,['Charles H. Joffe'],"['Woody Allen', ' Marshall Brickman']","['Woody Allen', ' Diane Keaton', ' Mariel Hemingway', ' Meryl Streep', ' Anne Byrne', ' Karen Ludwig', "" Michael O'Donoghue"", ' Tisa Farrow', ' Helen Hanft', ' Woody Allen', ' Woody Allen', ' Marshall Brickman', ' Robert Greenhut', ' Charles H. Joffe', ' Jack Rollins', ' Gordon Willis', ' Susan E. Morse', ' Juliet Taylor', ' Mel Bourne']",English,American,red
401,Gilda,1946,90,88.0,Romance,"gay and lesbian, romance",,English,,1h 50m,Charles Vidor,['Virginia Van Upp'],,"['Rita Hayworth', ' Glenn Ford', ' George Macready', ' Joseph Calleia', ' Steven Geray', ' Joseph Sawyer', ' Gerald Mohr', ' Virginia Van Upp', ' Charles Vidor', ' Doris Fisher', ' Rudolph Maté', ' Charles Nelson', ' Stephen Goosson', ' Van Nest Polglase', ' Jean Louis']",English,American,red
402,Up in the Air,2009,90,79.0,Romance,"comedy, drama",R (Some Sexual Content|Language),English,$83.8M,1h 49m,Jason Reitman,"['Daniel Dubiecki', ' Jeffrey Clifford', ' Ivan Reitman', ' Jason Reitman']","['Jason Reitman', ' Sheldon Turner']","['George Clooney', ' Vera Farmiga', ' Anna Kendrick', ' Jason Bateman', ' Danny McBride', ' Melanie Lynskey', ' Amy Morton', ' Sam Elliott', ' J.K. Simmons', ' Zach Galifianakis', ' Jason Reitman', ' Jason Reitman', ' Sheldon Turner', ' Daniel Dubiecki', ' Jeffrey Clifford', ' Ivan Reitman', ' Jason Reitman', ' Ted Griffin', ' Michael Beugg', ' Tom Pollock']",English,American,red
403,Dave,1993,95,72.0,Romance,comedy,PG-13,English,$61.0M,1h 50m,Ivan Reitman,"['Ivan Reitman', ' Lauren Shuler Donner']",['Gary Ross'],"['Kevin Kline', ' Sigourney Weaver', ' Frank Langella', ' Ben Kingsley', ' Kevin Dunn', ' Ving Rhames', ' Charles Grodin', ' Faith Prince', ' Laura Linney', ' Bonnie Hunt', ' Ivan Reitman', ' Gary Ross', ' Ivan Reitman', ' Lauren Shuler Donner', ' Joe Medjuck', ' Michael C. Gross', ' James Newton Howard', ' Adam Greenberg', ' Sheldon Kahn', ' Michael Chinich']",English,American,red
404,Eternal Sunshine of the Spotless Mind,2004,92,94.0,Romance,"sci fi, romance",R (Some Drug Content|Language|Some Sexual Content),English,$34.1M,1h 48m,Michel Gondry,"['Anthony Bregman', ' Steve Golin']","['Charlie Kaufman', ' Michel Gondry']","['Jim Carrey', ' Kate Winslet', ' Kirsten Dunst', ' Mark Ruffalo', ' Elijah Wood', ' Tom Wilkinson', ' Jane Adams', ' David Cross', "" Deirdre O'Connell"", ' Debbon Ayer', ' Michel Gondry', ' Anthony Bregman', ' Steve Golin', ' David L. Bushell', ' Charlie Kaufman', ' Michel Gondry', ' Jon Brion', ' Ellen Kuras', ' Valdís Óskarsdóttir']",English,American,red
405,The Town,2010,92,85.0,Romance,"crime, drama, mystery and thriller",R (Pervasive Language|Drug Use|Some Sexuality|Strong Violence),English,$92.2M,2h 4m,Ben Affleck,"['Graham King', ' Basil Iwanyk']","['Peter Craig', ' Ben Affleck', ' Aaron Stockard']","['Ben Affleck', ' Rebecca Hall', ' Jon Hamm', ' Jeremy Renner', ' Blake Lively', ' Titus Welliver', ' Pete Postlethwaite', ' Chris Cooper', ' Slaine', ' Owen Burke', ' Ben Affleck', ' Peter Craig', ' Ben Affleck', ' Aaron Stockard', ' Graham King', ' Basil Iwanyk', ' Chay Carter', ' Thomas Tull', ' Jon Jashni', ' William Fay']",English,American,red
406,Moonstruck,1987,94,81.0,Romance,romance,PG,English,$80.0M,1h 41m,Norman Jewison,"['Norman Jewison', ' Patrick J. Palmer']",['John Patrick Shanley'],"['Cher', ' Nicolas Cage', ' Vincent Gardenia', ' Olympia Dukakis', ' Danny Aiello', ' Julie Bovasso', ' John Mahoney', ' Louis Guss', ' Feodor Chaliapin', ' Anita Gillette', ' Norman Jewison', ' John Patrick Shanley', ' Norman Jewison', ' Patrick J. Palmer', ' Dick Hyman', ' David Watkin', ' Lou Lombardo', ' Howard Feuer', ' Philip Rosenberg']",English,American,red
407,Before Sunset,2004,94,91.0,Romance,"drama, romance",R (Sexual References|Language),English,$5.8M,1h 20m,Richard Linklater,['Anne Walker-McBay'],['Kim Krizan'],"['Ethan Hawke', ' Julie Delpy', ' Vernon Dobtcheff', ' Louise Lemoine Torres', ' Rodolphe Pauly', ' Mariane Plasteig', ' Diabolo', ' Albert Delpy', ' Marie Pillet', ' Richard Linklater', ' Richard Linklater', ' Kim Krizan', ' Anne Walker-McBay', ' Lee Daniel', ' Sandra Adair']",English,American,red
408,Big Night,1996,96,84.0,Romance,drama,R,English,$12.0M,1h 47m,"Campbell Scott, Stanley Tucci",['Jonathan Filley'],"['Joseph Tropiano', ' Stanley Tucci']","['Minnie Driver', ' Ian Holm', ' Isabella Rossellini', ' Tony Shalhoub', ' Stanley Tucci', ' Marc Anthony', ' Allison Janney', ' Caroline Aaron', ' Campbell Scott', ' Larry Block', ' Campbell Scott', ' Stanley Tucci', ' Joseph Tropiano', ' Stanley Tucci', ' David Kirkpatrick', ' Keith Samples', ' Jonathan Filley', ' Gary DeMichele', ' Ken Kelsch', ' Suzy Elmiger']",English,American,red
409,Howards End,1992,94,82.0,Romance,drama,PG,English,$157.9K,2h 20m,James Ivory,['Ismail Merchant'],['Ruth Prawer Jhabvala'],"['Anthony Hopkins', ' Emma Thompson', ' Helena Bonham Carter', ' Vanessa Redgrave', ' James Wilby', ' Samuel West', ' Jemma Redgrave', ' Nicola Duffett', ' Prunella Scales', ' Susie Lindeman', ' James Ivory', ' Ruth Prawer Jhabvala', ' Ismail Merchant']",English,British,red
410,Giant,1956,93,87.0,Romance,drama,G,English,$183.9K,3h 21m,George Stevens,"['Henry Ginsberg', ' George Stevens']","['Fred Guiol', ' Ivan Moffat']","['Elizabeth Taylor', ' Rock Hudson', ' Carroll Baker', ' Jane Withers', ' Chill Wills', ' Mercedes McCambridge', ' Dennis Hopper', ' Sal Mineo', ' Rod Taylor', ' George Stevens', ' Edna Ferber', ' Fred Guiol', ' Ivan Moffat', ' Henry Ginsberg', ' George Stevens', ' Dimitri Tiomkin', ' William C. Mellor', ' Boris Leven']",English,American,red
411,The Crying Game,1992,94,78.0,Romance,mystery and thriller,R,English,$60.7M,1h 53m,Neil Jordan,['Stephen Woolley'],['Neil Jordan'],"['Stephen Rea', ' Miranda Richardson', ' Forest Whitaker', ' Jim Broadbent', ' Ralph Brown', ' Adrian Dunbar', ' Jaye Davidson', ' Andree Bernard', ' Neil Jordan', ' Neil Jordan', ' Nik Powell', ' Stephen Woolley', ' Simon Boswell', ' Anne Dudley', ' Chris Lowe', ' Neil Tennant']",English,British,red
412,Daughters of the Dust,1991,93,65.0,Romance,drama,,English,$41.0K,1h 54m,Julie Dash,['Julie Dash'],['Julie Dash'],"['Cora Lee Day', ' Alva Rogers', ' Adisa Anderson', ' Kaycee Moore', ' Barbara-O', ' Eartha Robinson', ' Bahni Turpin', ' Cheryl Lynn Bruce', ' Tommy Hicks', ' Cornell ""Kofi"" Royal', ' Julie Dash', ' Julie Dash', ' Julie Dash', ' Arthur Jafa', ' Amy Carey', ' Kerry Marshall', ' Michael Kelly Williams', ' Arline Burks Gant']",English,American,red
413,The Quiet Man,1952,91,91.0,Romance,drama,,English,,2h 9m,John Ford,"['Merian C. Cooper', ' John Ford']",['Frank S. Nugent'],"['John Wayne', "" Maureen O'Hara"", ' Barry Fitzgerald', ' Victor McLaglen', ' Mildred Natwick', ' Arthur Shields', ' Ward Bond', ' Jack MacGowran', ' Frank S. Nugent', ' Maurice Walsh', ' Merian C. Cooper', ' Winton C. Hoch', ' Frank Hotaling', ' John McCarthy Jr.']",English,American,red
414,About a Boy,2002,93,55.0,Romance,"comedy, drama, romance",PG-13 (Some Thematic Elements|Brief Strong Language),English,$40.6M,1h 40m,"Chris Weitz, Paul Weitz","['Jane Rosenthal', ' Robert De Niro', ' Brad Epstein', ' Tim Bevan']",,"['Hugh Grant', ' Toni Collette', ' Rachel Weisz', ' Nicholas Hoult', ' Isabel Brook', ' Sharon Small', ' Victoria Smurfit', ' Augustus Prew', ' Chris Weitz', ' Paul Weitz', ' Peter Hedges', ' Chris Weitz', ' Paul Weitz', ' Nick Hornby', ' Jane Rosenthal', ' Robert De Niro', ' Brad Epstein', ' Tim Bevan']",English,American,orange
415,Monsoon Wedding,2001,95,87.0,Romance,"comedy, drama",R (Some Sex Related Dialogue|Language),English,$13.9M,1h 40m,Mira Nair,"['Caroline Baron', ' Mira Nair']",['Sabrina Dhawan'],"['Naseeruddin Shah', ' Lillete Dubey', ' Mira Nair', ' Sabrina Dhawan', ' Caroline Baron', ' Mira Nair', ' Caroline Kaplan', ' Jonathan Sehring', ' Declan Quinn', ' Allyson C. Johnson']",English,American,red
416,The Martian,2015,91,91.0,Science Fiction & Fantasy,"drama, sci fi, adventure",PG-13 (Injury Images|Brief Nudity|Some Strong Language),English,$228.4M,2h 22m,Ridley Scott,"['Simon Kinberg', ' Ridley Scott', ' Michael Schaefer', ' Aditya Sood', ' Mark Huffam']",['Drew Goddard'],"['Matt Damon', ' Jessica Chastain', ' Kristen Wiig', ' Jeff Daniels', ' Michael Peña', ' Kate Mara', ' Sean Bean', ' Sebastian Stan', ' Aksel Hennie', ' Donald Glover', ' Ridley Scott', ' Drew Goddard', ' Simon Kinberg', ' Ridley Scott', ' Michael Schaefer', ' Aditya Sood', ' Mark Huffam', ' Drew Goddard', ' Dariusz Wolski', ' Pietro Scalia']",English,American,red
417,Edge of Tomorrow,2014,91,90.0,Science Fiction & Fantasy,"sci fi, action",PG-13 (Intense Seq. of Sci-Fi Action|Brief Suggestive Material|Intense Seq. of Sci-Fi Violenc|Language),English,$100.2M,1h 53m,Doug Liman,"['Erwin Stoff', ' Tom Lassally', ' Jason Hoffs', ' Gregory Jacobs', ' Jeffrey Silver']","['Christopher McQuarrie', ' Jez Butterworth', ' John-Henry Butterworth']","['Tom Cruise', ' Emily Blunt', ' Brendan Gleeson', ' Bill Paxton', ' Jonas Armstrong', ' Tony Way', ' Kick Gurry', ' Franz Drameh', ' Dragomir Mrsic', ' Charlotte Riley', ' Doug Liman', ' Christopher McQuarrie', ' Jez Butterworth', ' John-Henry Butterworth', ' Erwin Stoff', ' Tom Lassally', ' Jason Hoffs', ' Gregory Jacobs', ' Jeffrey Silver', ' Doug Liman']",English,American,red
418,Snowpiercer,2013,94,72.0,Science Fiction & Fantasy,"mystery and thriller, sci fi, action",R (Language|Drug Content|Violence),English,$4.6M,2h 5m,Bong Joon-ho,"['Jeong Tae-seong', ' Steven Nam', ' Park Chan-wook', ' Lee Tae-hun']","['Bong Joon-ho', ' Kelly Masterson']","['Chris Evans', ' Song Kang-ho', ' Tilda Swinton', ' Jamie Bell', ' Octavia Spencer', ' John Hurt', ' Ed Harris', ' Ewen Bremner', ' Ko Asung', ' Alison Pill', ' Bong Joon-ho', ' Bong Joon-ho', ' Kelly Masterson', ' Jeong Tae-seong', ' Steven Nam', ' Park Chan-wook', ' Lee Tae-hun', ' Miky Lee', ' Hong Gyeong pyo']",English,South_Korean,red
419,Blade Runner,1982,90,91.0,Science Fiction & Fantasy,"mystery and thriller, sci fi",R,English,$3.9M,2h 2m,Ridley Scott,['Michael Deeley'],"['Hampton Fancher', ' David Webb Peoples']","['Harrison Ford', ' Rutger Hauer', ' Sean Young', ' Edward James Olmos', ' M. Emmet Walsh', ' Daryl Hannah', ' William Sanderson', ' Brion James', ' Joe Turkel', ' Joanna Cassidy', ' Ridley Scott', ' Philip K. Dick', ' Hampton Fancher', ' David Webb Peoples', ' Michael Deeley', ' Hampton Fancher', ' Brian Kelly', ' Ivor Powell', ' Ridley Scott']",English,American,red
420,Love Is Strange,2014,93,66.0,Special Interest,"gay and lesbian, drama",R (Language),English,$2.3M,1h 34m,Ira Sachs,"['Lucas Joaquin', ' Jay Van Hoy', ' Lars Knudsen', ' Ira Sachs', ' Jayne Baron Sherman']","['Ira Sachs', ' Mauricio Zacharias']","['John Lithgow', ' Alfred Molina', ' Marisa Tomei', ' Cheyenne Jackson', ' Charlie Tahan', ' Darren E. Burrows', ' John Cullum', ' Harriet Sansom Harris', ' Manny Perez', ' Christian Coulson', ' Ira Sachs', ' Ira Sachs', ' Mauricio Zacharias', ' Lucas Joaquin', ' Jay Van Hoy', ' Lars Knudsen', ' Ira Sachs', ' Jayne Baron Sherman', ' Blythe Robertson', ' Ali Betil']",English,American,red
421,My Winnipeg,2007,95,77.0,Special Interest,"comedy, drama, documentary",,English,$156.6K,1h 20m,Guy Maddin,"['Jody Shapiro', ' Phyllis Lang']","['Guy Maddin', ' George Toles']","['Guy Maddin', ' Ann Savage', ' Louis Negin', ' Amy Stewart', ' Darcy Fehr', ' Kate Yacula', ' Guy Maddin', ' Guy Maddin', ' George Toles', ' Michael Burns', ' Jody Shapiro', ' John Gurdebeke']",English,Canadian,red
422,Up the Yangtze,2007,96,83.0,Special Interest,documentary,,English,$783.4K,1h 33m,Yung Chang,,['Yung Chang'],"['Yung Chang', ' Yung Chang']",English,Canadian,red
423,Rocky,1976,92,69.0,Sports & Fitness,drama,PG,English,,1h 59m,John G. Avildsen,"['Irwin Winkler', ' Robert Chartoff']",['Sylvester Stallone'],"['Sylvester Stallone', ' Talia Shire', ' Burgess Meredith', ' Burt Young', ' Carl Weathers', ' Thayer David', ' Joe Spinell', ' James Gambina', ' Al Silvani', ' George Memmoli', ' John G. Avildsen', ' Sylvester Stallone', ' Gene Kirkwood', ' Irwin Winkler', ' Robert Chartoff', ' Bill Conti', ' James Crabe', ' Scott Conrad', ' Richard Halsey', ' William J. Cassidy']",English,American,red
424,Battle of the Sexes,2017,85,71.0,Sports & Fitness,"comedy, drama",PG-13 (Some Sexual Content|Partial Nudity),English,$12.6M,2h 1m,"Valerie Faris, Jonathan Dayton","['Christian Colson', ' Danny Boyle', ' Robert Graf']",['Simon Beaufoy'],"['Emma Stone', ' Steve Carell', ' Andrea Riseborough', ' Natalie Morales', ' Sarah Silverman', ' Bill Pullman', ' Alan Cumming', ' Elisabeth Shue', ' Eric Christian Olsen', ' Fred Armisen', ' Valerie Faris', ' Jonathan Dayton', ' Simon Beaufoy', ' Christian Colson', ' Danny Boyle', ' Robert Graf', ' Linus Sandgren', ' Pamela Martin', ' Nicholas Britell', ' Judy Becker']",English,American,red
425,The Fighter,2010,90,89.0,Sports & Fitness,"drama, biography",R (Language Throughout|Drug Content|Sexuality|Some Violence),English,$93.6M,1h 56m,David O. Russell,"['David Hoberman', ' Todd Lieberman', ' Ryan Kavanaugh', ' Mark Wahlberg', ' Dorothy Aufiero', ' Paul Tamasy']","['Scott Silver', ' Paul Tamasy', ' Eric Johnson']","['Mark Wahlberg', ' Christian Bale', ' Amy Adams', ' Melissa Leo', ' Jack McGee', "" Mickey O'Keefe"", ' Melissa McMeekin', ' Bianca Hunter', ' Erica McDermott', ' Jill Quigg', ' David O. Russell', ' Scott Silver', ' Paul Tamasy', ' David Hoberman', ' Todd Lieberman', ' Ryan Kavanaugh', ' Mark Wahlberg', ' Dorothy Aufiero', ' Paul Tamasy']",English,American,red
426,The Damned United,2009,92,85.0,Sports & Fitness,"drama, biography",R (Language),English,$449.6K,1h 37m,Tom Hooper,"['Andy Harries', ' Grainne Marmion']",['Peter Morgan'],"['Michael Sheen', ' Timothy Spall', ' Jim Broadbent', ' Stephen Graham', ' Joe Dempsie', ' Colm Meaney', ' Martin Compston', ' Maurice Roëves', ' Elizabeth Carling', ' Brian McCardie', ' Tom Hooper', ' Peter Morgan', ' Andy Harries', ' Hugo Heppell', ' Christine Langan', ' Grainne Marmion', ' Melanie Oliver', ' Daniel Hubbard']",English,British,red
427,The Color of Money,1986,89,73.0,Sports & Fitness,drama,R,English,$52.3M,1h 59m,Martin Scorsese,"['Irving Axelrod', ' Barbara De Fina']","['Walter Tevis', ' Richard Price']","['Paul Newman', ' Tom Cruise', ' Mary Elizabeth Mastrantonio', ' Helen Shaver', ' John Turturro', ' Bill Cobbs', ' Robert Agins', ' Forest Whitaker', ' Martin Scorsese', ' Walter Tevis', ' Richard Price', ' Irving Axelrod', ' Barbara De Fina', ' Eric Clapton', ' Robbie Robertson', ' Mark Knopfler', ' Michael Ballhaus']",English,American,red
428,Hoosiers,1986,89,88.0,Sports & Fitness,drama,PG,English,$25.8M,1h 54m,David Anspaugh,"['Angelo Pizzo', ' Carter De Haven']",['Angelo Pizzo'],"['Gene Hackman', ' Barbara Hershey', ' Dennis Hopper', ' Sheb Wooley', ' Fern Persons', ' Brad Boyle', ' Steve Hollar', ' Brad Long', ' David Neidorf', ' Kent Poole', ' David Anspaugh', ' Angelo Pizzo', ' John Daly', ' Derek Gibson', ' Angelo Pizzo', ' Carter De Haven', ' Jerry Goldsmith', ' Fred Murphy', "" Carroll Timothy O'Meara"", ' Ken Carlson']",English,American,red
429,Girlfight,2000,88,75.0,Sports & Fitness,drama,R (Language),English,$1.5M,1h 53m,Karyn Kusama,,['Karyn Kusama'],"['Michelle Rodriguez', ' Jaime Tirelli', ' Paul Calderon', ' Santiago Douglas', ' Ray Santiago', ' Elisa Bocanegra', ' Shannon Walker Williams', ' Iris Little-Thomas', ' John Sayles', ' Karyn Kusama', ' Karyn Kusama', ' Caroline Kaplan', ' John Sayles', ' Jonathan Sehring', ' Theodore Shapiro', ' Patrick Cady', ' Plummy Tucker', ' Ellyn Long Marshall', ' Maria E. Nelson']",English,American,red
430,Heaven Can Wait,1978,88,68.0,Sports & Fitness,"comedy, fantasy",PG,English,,1h 41m,"Warren Beatty, Buck Henry",['Warren Beatty'],"['Harry Segall', ' Elaine May', ' Warren Beatty', ' Robert Towne']","['Warren Beatty', ' Julie Christie', ' Jack Warden', ' James Mason', ' Dyan Cannon', ' Charles Grodin', ' Buck Henry', ' Vincent Gardenia', ' Joseph Maher', ' Hamilton Camp', ' Warren Beatty', ' Buck Henry', ' Harry Segall', ' Elaine May', ' Warren Beatty', ' Robert Towne', ' Hawk Koch', ' Charles H. Maguire', ' Warren Beatty', ' Dave Grusin']",English,American,red
431,Field of Dreams,1989,87,86.0,Sports & Fitness,fantasy,PG,English,$61.8M,1h 46m,Phil Alden Robinson,"['Charles Gordon', ' Lawrence Gordon']",,"['Kevin Costner', ' Amy Madigan', ' James Earl Jones', ' Gaby Hoffman', ' Ray Liotta', ' Timothy Busfield', ' Burt Lancaster', ' Frank Whaley', ' Dwier Brown', ' Phil Alden Robinson', ' Brian E. Frankish', ' Charles Gordon', ' Lawrence Gordon', ' James Horner', ' John Lindley', ' Ian Crafford', ' Margery Simkin', ' Leslie McDonald']",English,American,red
432,The Heart of the Game,2005,87,83.0,Sports & Fitness,documentary,PG-13 (Brief Strong Language),English,$444.1K,1h 45m,Ward Serrill,"['Ward Serrill', ' Liz Manne']",['Ward Serrill'],"['Ward Serrill', ' Ward Serrill', ' Ward Serrill', ' Liz Manne', ' Larry Estes']",English,American,red
433,The Hurricane,1999,83,87.0,Sports & Fitness,drama,R (Violence|Language),English,$50.7M,2h 26m,Norman Jewison,['Armyan Bernstein'],['Armyan Bernstein'],"['Denzel Washington', ' Vicellous Reon Shannon', ' Deborah Kara Unger', ' Liev Schreiber', ' John Hannah', ' Dan Hedaya', ' Debbi Morgan', ' Clancy Brown', ' David Paymer', ' Harris Yulin', ' Norman Jewison', ' Rubin ""Hurricane"" Carter', ' Sam Chaiton', ' Terry Swinton', ' Armyan Bernstein', ' Dan Gordon', ' Marc Abraham', ' Irving Azoff', ' Armyan Bernstein', ' Suzann Ellis']",English,American,red
434,Chariots of Fire,1981,82,80.0,Sports & Fitness,drama,PG,English (United Kingdom),,2h 3m,Hugh Hudson,['David Puttnam'],,"['Ben Cross', ' Ian Charleson', ' John Gielgud', ' Nigel Havers', ' Nicholas Farrell', ' Ian Holm', ' Lindsay Anderson', ' Nigel Davenport', ' Cheryl Campbell', ' Alice Krige', ' Hugh Hudson', ' Jonathan Benson', ' Colin Welland', ' David Puttnam', ' Dodi Fayed', ' Jake Eberts', ' David Watkin', ' Terry Rawlings']",English (United Kingdom),British,red
435,Looking for Eric,2009,85,78.0,Sports & Fitness,"comedy, drama",,English,$55.8K,1h 56m,Ken Loach,"['Tim Cole', "" Rebecca O'Brien""]",['Paul Laverty'],"['Steve Evets', ' Éric Cantona', ' Stephanie Bishop', ' Gerard Kearns', ' Stefan Gumbs', ' Lucy-Jo Hudson', ' Cole Williams', ' Dylan Williams', ' Matthew McNulty', ' Laura Ainsworth', ' Ken Loach', ' Paul Laverty', ' Tim Cole', "" Rebecca O'Brien"", ' Barry Ackroyd', ' Kahleen Crawford', ' Fergus Clegg']",English,British,red
436,Major League,1989,83,84.0,Sports & Fitness,comedy,R,English,$49.8M,1h 47m,David S. Ward,"['Chris Chesser', ' Irby Smith']",,"['Tom Berenger', ' Charlie Sheen', ' Corbin Bernsen', ' Margaret Whitton', ' James Gammon', ' Rene Russo', ' Wesley Snipes', ' Charles Cyphers', ' Chelcie Ross', ' Dennis Haysbert', ' David S. Ward', ' Mark Rosenberg', ' Chris Chesser', ' Irby Smith', ' James Newton Howard', ' Randy Newman', ' Reynaldo Villalobos', ' Dennis M. Hill']",English,American,red
437,Goon,2011,81,71.0,Sports & Fitness,"comedy, biography",R (Drug Use|Brutal Violence|Nonstop Language|Some Strong Sexual Content),English,$4.2M,1h 31m,Michael Dowse,"['Don Carmody', ' David Gross', ' Andre Rouleau', ' Ian Dimerman', ' Jay Baruchel']","['Jay Baruchel', ' Evan Goldberg']","['Seann William Scott', ' Jay Baruchel', ' Alison Pill', ' Marc-André Grondin', ' Liev Schreiber', ' Kim Coates', ' Eugene Levy', ' Nicholas Campbell', ' Michael Dowse', ' Jay Baruchel', ' Evan Goldberg', ' Don Carmody', ' David Gross', ' Andre Rouleau', ' Ian Dimerman', ' Jay Baruchel', ' Jesse Shapira', ' Mark Slone']",English,Canadian,red
438,Invictus,2009,76,75.0,Sports & Fitness,"drama, biography",PG-13 (Brief Strong Language),English,$37.5M,2h 14m,Clint Eastwood,"['Clint Eastwood', ' Lori McCreary', ' Robert Lorenz', ' Mace Neufeld']",['Anthony Peckham'],"['Morgan Freeman', ' Matt Damon', ' Tony Kgoroge', ' Patrick Mofokeng', ' Matt Stern', ' Julian Lewis Jones', ' Adjoa Andoh', ' Marguerite Wheatley', ' Leleti Khumalo', ' Patrick Lyster', ' Clint Eastwood', ' Anthony Peckham', ' Clint Eastwood', ' Lori McCreary', ' Robert Lorenz', ' Mace Neufeld', ' Morgan Freeman', ' Tim Moore', ' Gary Barber', ' Roger Birnbaum']",English,American,red
439,The Boxer,1997,80,74.0,Sports & Fitness,drama,R (Some Violence|Language),English,$5.8M,1h 53m,Jim Sheridan,"['Arthur Lappin', ' Jim Sheridan']","['Jim Sheridan', ' Terry George']","['Daniel Day-Lewis', ' Emily Watson', ' Brian Cox', ' Ken Stott', ' Gerard McSorley', ' Eleanor Methven', ' Ciaran Fitzgerald', ' David McBlain', ' Damien Denny', ' Clayon Stewart', ' Jim Sheridan', ' Jim Sheridan', ' Terry George', ' Nye Heron', ' Arthur Lappin', ' Jim Sheridan', ' Gavin Friday', ' Maurice Seezer', ' Chris Menges', ' Clive Barrett']",English,American,red
440,A League of Their Own,1992,78,84.0,Sports & Fitness,"comedy, drama",PG,English,$105.1M,2h 6m,Penny Marshall,"['Robert Greenhut', ' Elliot Abbott']","['Kelly Candaele', ' Lowell Ganz', ' Babaloo Mandel']","['Tom Hanks', ' Geena Davis', ' Madonna', ' Lori Petty', ' Jon Lovitz', ' David Strathairn', ' Garry Marshall', ' Megan Cavanaugh', "" Rosie O'Donnell"", ' Renée Coleman', ' Penny Marshall', ' Kelly Candaele', ' Lowell Ganz', ' Babaloo Mandel', ' Robert Greenhut', ' Elliot Abbott', ' Penny Marshall', ' Carole King', ' Miroslav Ondrícek']",English,American,red
441,Talladega Nights: The Ballad of Ricky Bobby,2006,71,73.0,Sports & Fitness,comedy,PG-13 (Crude and Sexual Humor|Brief Comic Violence|Drug References|Language),English,$148.2M,1h 50m,Adam McKay,"['Judd Apatow', ' Jimmy Miller']","['Will Ferrell', ' Adam McKay']","['Will Ferrell', ' John C. Reilly', ' Sacha Baron Cohen', ' Gary Cole', ' Michael Clarke Duncan', ' Leslie Bibb', ' Jane Lynch', ' Andy Richter', ' Molly Shannon', ' David Koechner', ' Adam McKay', ' Will Ferrell', ' Adam McKay', ' Judd Apatow', ' Jimmy Miller', ' Will Ferrell', ' Adam McKay', ' Oliver Wood']",English,American,red
